,text
5068,American Town Crier@towncrier_usa·18mEuropeans and Americans need to bring down the cost of living. Then they can afford larger families.1137
5069,JennXTex@JennXTex·1h2nd wave feminism plays a huge role in this problem4412314
5070,"Red Alert 24/7@SANAD_KHESHGI·6hIt’s not just about having large families — Europe also needs to fix the reasons why young people aren’t even considering starting families: cost of living, housing, work-life balance, and cultural attitudes toward parenthood. Otherwise, even ‘large families’ won’t happen.Show more31146.4K"
5071,"Bushmill0x@bushmill0x·7hHousing in Europe is becoming smaller and more expensive, making it harder to support large families.3121986Fintechatoshi "
5072,Sharkamoto@FinTechShark1·7hEurope is being rapidly overtaken by immigration.44794K
5073,"Omar@nobitaszn·5hAs for Italy, for that to happen, we will need actual jobs. I've had to leave my beautiful Sardinia to work in the UK. Now, after nearly 5 years I have to move back to Italy for family reasons, and I'm gonna have to get a job where they pay a misery. How can someone have a familyShow more2193.1K"
5074,God & Country@GodandCountryy·5h10392168.8K
5075,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5076,God & Country@GodandCountryy·5h10392168.8K
5077,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5078,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5079,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5080,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5081,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5082,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5083,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5084,Tom Pappert@realTomPappert·3hCan’t you just replace Europe with Indians or does that only work in America2151K
5085,"© The Renewables & Their Creator Gordon Bergmann@The__Renewables·5hWhich families are you talking about exactly – white families or people of color families?

And since it's a globalized world, everything is changing. But humanity is certainly not dying out. Not yet!

So you're actually only talking about white families. Correct? And that bringsShow more3424474"
5086,The Aureus Press@Trad_West_Art·6hIf you want to get serious about this you must address repealing elements of feminism21793.5K
5087,"Blessedsam@Blessedsam080·15mIt's simple 

Once the cost of living reduces then having huge families will be swift 

No one wants to have babies the more life gets harder 

Everyone is greedy about money these days
Cuz no one wants to be overburden1118"
5088,God & Country@GodandCountryy·5h10392168.8K
5089,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5090,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5091,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5092,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5093,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5094,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5095,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5096,Tom Pappert@realTomPappert·3hCan’t you just replace Europe with Indians or does that only work in America2151K
5097,"© The Renewables & Their Creator Gordon Bergmann@The__Renewables·5hWhich families are you talking about exactly – white families or people of color families?

And since it's a globalized world, everything is changing. But humanity is certainly not dying out. Not yet!

So you're actually only talking about white families. Correct? And that bringsShow more3424474"
5098,The Aureus Press@Trad_West_Art·6hIf you want to get serious about this you must address repealing elements of feminism21793.5K
5099,"Blessedsam@Blessedsam080·15mIt's simple 

Once the cost of living reduces then having huge families will be swift 

No one wants to have babies the more life gets harder 

Everyone is greedy about money these days
Cuz no one wants to be overburden1118"
5100,"The Gandhian@The_Gandhian0·6hLow birth rates are a real concern — but the solution isn’t just “have more kids.”
Make life stable, housing affordable, and parenting supported — families will grow naturally.521047.1K"
5101,"Midnight @EruditeMidnight·2hCommentary accountPower and Control
A declining population shifts power:

Smaller workforce = rising wages = businesses panic

Smaller consumer base = less market leverage = investors panic

Shrinking tax base = government can’t fund itself = politicians panic

So they push pro-natalist policiesShow more124307"
5102,"Luke Weinhagen@LukeWeinhagen·2hEurope must return to being intentionally and unabashedly European. 

Maximizing European cultural prominence.
Maximizing European institutional prominence.
Maximizing European familial prominence.

None of these are stable enough to grow without the others.2623650"
5103,"Sir James Britain@SirJBritain·6hI keep asking rabid leftists this question. 
But they never have an answer.107901.2K"
5104,American Town Crier@towncrier_usa·18mEuropeans and Americans need to bring down the cost of living. Then they can afford larger families.1137
5105,JennXTex@JennXTex·1h2nd wave feminism plays a huge role in this problem4412314
5106,"Red Alert 24/7@SANAD_KHESHGI·6hIt’s not just about having large families — Europe also needs to fix the reasons why young people aren’t even considering starting families: cost of living, housing, work-life balance, and cultural attitudes toward parenthood. Otherwise, even ‘large families’ won’t happen.Show more31146.4K"
5107,"Bushmill0x@bushmill0x·7hHousing in Europe is becoming smaller and more expensive, making it harder to support large families.3121986Fintechatoshi "
5108,Sharkamoto@FinTechShark1·7hEurope is being rapidly overtaken by immigration.44794K
5109,"Omar@nobitaszn·5hAs for Italy, for that to happen, we will need actual jobs. I've had to leave my beautiful Sardinia to work in the UK. Now, after nearly 5 years I have to move back to Italy for family reasons, and I'm gonna have to get a job where they pay a misery. How can someone have a familyShow more2193.1K"
5110,"Blessedsam@Blessedsam080·15mIt's simple 

Once the cost of living reduces then having huge families will be swift 

No one wants to have babies the more life gets harder 

Everyone is greedy about money these days
Cuz no one wants to be overburden1118"
5111,"The Gandhian@The_Gandhian0·6hLow birth rates are a real concern — but the solution isn’t just “have more kids.”
Make life stable, housing affordable, and parenting supported — families will grow naturally.521047.1K"
5112,"Midnight @EruditeMidnight·2hCommentary accountPower and Control
A declining population shifts power:

Smaller workforce = rising wages = businesses panic

Smaller consumer base = less market leverage = investors panic

Shrinking tax base = government can’t fund itself = politicians panic

So they push pro-natalist policiesShow more124307"
5113,"Luke Weinhagen@LukeWeinhagen·2hEurope must return to being intentionally and unabashedly European. 

Maximizing European cultural prominence.
Maximizing European institutional prominence.
Maximizing European familial prominence.

None of these are stable enough to grow without the others.2623650"
5114,"Sir James Britain@SirJBritain·6hI keep asking rabid leftists this question. 
But they never have an answer.107901.2K"
5115,American Town Crier@towncrier_usa·18mEuropeans and Americans need to bring down the cost of living. Then they can afford larger families.1137
5116,JennXTex@JennXTex·1h2nd wave feminism plays a huge role in this problem4412314
5117,"Red Alert 24/7@SANAD_KHESHGI·6hIt’s not just about having large families — Europe also needs to fix the reasons why young people aren’t even considering starting families: cost of living, housing, work-life balance, and cultural attitudes toward parenthood. Otherwise, even ‘large families’ won’t happen.Show more31146.4K"
5118,"Bushmill0x@bushmill0x·7hHousing in Europe is becoming smaller and more expensive, making it harder to support large families.3121986Fintechatoshi "
5119,Sharkamoto@FinTechShark1·7hEurope is being rapidly overtaken by immigration.44794K
5120,"Omar@nobitaszn·5hAs for Italy, for that to happen, we will need actual jobs. I've had to leave my beautiful Sardinia to work in the UK. Now, after nearly 5 years I have to move back to Italy for family reasons, and I'm gonna have to get a job where they pay a misery. How can someone have a familyShow more2193.1K"
5121,God & Country@GodandCountryy·5h10392168.8K
5122,God & Country@GodandCountryy·5h10392168.8K
5123,God & Country@GodandCountryy·5h10392168.8K
5124,God & Country@GodandCountryy·5h10392168.8K
5125,God & Country@GodandCountryy·5h10392168.8K
5126,God & Country@GodandCountryy·5h10392168.8K
5127,God & Country@GodandCountryy·5h10392168.8K
5128,God & Country@GodandCountryy·5h10392168.8K
5129,God & Country@GodandCountryy·5h10392168.8K
5130,God & Country@GodandCountryy·5h10392168.8K
5131,God & Country@GodandCountryy·5h10392168.8K
5132,God & Country@GodandCountryy·5h10392168.8K
5133,God & Country@GodandCountryy·5h10392168.8K
5134,God & Country@GodandCountryy·5h10392168.8K
5135,God & Country@GodandCountryy·5h10392168.8K
5136,God & Country@GodandCountryy·5h10392168.8K
5137,God & Country@GodandCountryy·5h10392168.8K
5138,God & Country@GodandCountryy·5h10392168.8K
5139,God & Country@GodandCountryy·5h10392168.8K
5140,God & Country@GodandCountryy·5h10392168.8K
5141,God & Country@GodandCountryy·5h10392168.8K
5142,God & Country@GodandCountryy·5h
5143,God & Country@GodandCountryy·5h
5144,God & Country@GodandCountryy·5h
5145,God & Country@GodandCountryy·5h
5146,God & Country@GodandCountryy·5h
5147,God & Country@GodandCountryy·5h
5148,God & Country@GodandCountryy·5h
5149,God & Country@GodandCountryy·5h
5150,God & Country@GodandCountryy·5h
5151,God & Country@GodandCountryy·5h
5152,God & Country@GodandCountryy·5h
5153,God & Country@GodandCountryy·5h
5154,God & Country@GodandCountryy·5h
5155,God & Country@GodandCountryy·5h
5156,God & Country@GodandCountryy·5h
5157,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5158,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5159,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5160,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5161,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5162,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5163,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5164,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5165,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5166,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5167,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5168,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5169,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5170,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5171,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5172,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5173,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5174,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5175,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5176,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5177,"Cocky@BigCheddarBob1·6hWe can't afford to have large families. The only ones who can afford that are the immigrants who get free housing, free healthcare, free dentistry and £500 a week for spending money.1891K18K"
5178,Cocky@BigCheddarBob1·6h
5179,Cocky@BigCheddarBob1·6h
5180,Cocky@BigCheddarBob1·6h
5181,Cocky@BigCheddarBob1·6h
5182,Cocky@BigCheddarBob1·6h
5183,Cocky@BigCheddarBob1·6h
5184,Cocky@BigCheddarBob1·6h
5185,Cocky@BigCheddarBob1·6h
5186,Cocky@BigCheddarBob1·6h
5187,Cocky@BigCheddarBob1·6h
5188,Cocky@BigCheddarBob1·6h
5189,Cocky@BigCheddarBob1·6h
5190,Cocky@BigCheddarBob1·6h
5191,Cocky@BigCheddarBob1·6h
5192,Cocky@BigCheddarBob1·6h
5193,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5194,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5195,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5196,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5197,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5198,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5199,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5200,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5201,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5202,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5203,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5204,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5205,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5206,Not Jerome Powell@alifarhat79·7hParody accountSouth Koreans about to go extinct127899K
5207,Not Jerome Powell@alifarhat79·7hParody account
5208,Not Jerome Powell@alifarhat79·7hParody account
5209,Not Jerome Powell@alifarhat79·7h
5210,Not Jerome Powell@alifarhat79·7h
5211,Not Jerome Powell@alifarhat79·7h
5212,Not Jerome Powell@alifarhat79·7h
5213,Not Jerome Powell@alifarhat79·7h
5214,Not Jerome Powell@alifarhat79·7h
5215,Not Jerome Powell@alifarhat79·7h
5216,Not Jerome Powell@alifarhat79·7h
5217,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5218,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5219,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5220,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5221,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5222,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5223,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5224,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5225,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5226,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5227,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5228,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5229,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5230,"Brian O@Brian0book·5h1900 A.D. Global White Caucasian Population:  30%

2025 A.D. Global White Caucasian Population:  8%117410"
5231,Brian O@Brian0book·5h
5232,Brian O@Brian0book·5h
5233,Brian O@Brian0book·5h
5234,Brian O@Brian0book·5h
5235,Brian O@Brian0book·5h
5236,Brian O@Brian0book·5h
5237,Brian O@Brian0book·5h
5238,Brian O@Brian0book·5h
5239,Brian O@Brian0book·5h
5240,Brian O@Brian0book·5h
5241,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5242,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5243,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5244,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5245,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5246,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5247,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5248,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5249,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5250,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5251,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5252,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5253,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5254,Darren @CryptoIRELAND1·6hThe cost of living is stopping people that's the problem5392.6K
5255,Darren @CryptoIRELAND1·6h
5256,Darren @CryptoIRELAND1·6h
5257,Darren @CryptoIRELAND1·6h
5258,Darren @CryptoIRELAND1·6h
5259,Darren @CryptoIRELAND1·6h
5260,Darren @CryptoIRELAND1·6h
5261,Darren @CryptoIRELAND1·6h
5262,Darren @CryptoIRELAND1·6h
5263,Darren @CryptoIRELAND1·6h
5264,Darren @CryptoIRELAND1·6h
5265,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5266,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5267,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5268,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5269,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5270,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5271,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5272,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5273,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5274,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5275,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5276,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5277,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5278,"vedicquant @vedicquant·6hEurope population in 1925 was 470M 
Europe population in 2025 is 744M 

That’s controlled and steady growth. Europe will not die. Europe will thrive.51255K"
5279,vedicquant @vedicquant·6h
5280,vedicquant @vedicquant·6h
5281,vedicquant @vedicquant·6h
5282,vedicquant @vedicquant·6h
5283,vedicquant @vedicquant·6h
5284,vedicquant @vedicquant·6h
5285,vedicquant @vedicquant·6h
5286,vedicquant @vedicquant·6h
5287,vedicquant @vedicquant·6h
5288,vedicquant @vedicquant·6h
5289,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5290,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5291,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5292,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5293,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5294,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5295,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5296,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5297,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5298,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5299,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5300,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5301,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5302,"Noman_OnΞ@No_man_one·7hlololol... then solve the real estate problem first man.
can't buy a home, wont make kids...
as simple as that.621.9K18K"
5303,Noman_OnΞ@No_man_one·7h
5304,Noman_OnΞ@No_man_one·7h
5305,Noman_OnΞ@No_man_one·7h
5306,Noman_OnΞ@No_man_one·7h
5307,Noman_OnΞ@No_man_one·7h
5308,Noman_OnΞ@No_man_one·7h
5309,Noman_OnΞ@No_man_one·7h
5310,Noman_OnΞ@No_man_one·7h
5311,Noman_OnΞ@No_man_one·7h
5312,Noman_OnΞ@No_man_one·7h
5313,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5314,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5315,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5316,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5317,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5318,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5319,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5320,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5321,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5322,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5323,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5324,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5325,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5326,"EchoesOfMotherhood@EchoesOfIAM·7mLesser children js not the cause. It is SYMPTOM.

To fix society one needs to treat the CAUSE and not the symptom.

Only increasing natality will not help. It might actually be even risky if MOTHERHOOD is not properly adressed 

When will someone start talking on motherhood andShow more1124"
5327,EchoesOfMotherhood@EchoesOfIAM·7m
5328,EchoesOfMotherhood@EchoesOfIAM·7m
5329,EchoesOfMotherhood@EchoesOfIAM·7m
5330,EchoesOfMotherhood@EchoesOfIAM·7m
5331,EchoesOfMotherhood@EchoesOfIAM·7m
5332,EchoesOfMotherhood@EchoesOfIAM·7m
